;D1_S02_1L-s_R01;D1_S02_1L-s_R02;D1_S02_1L-s_R03;D1_S02_10L-s_R01;D1_S02_2.5L-s_R01.1;D1_S02_2.5L-s_R01.2;D1_S02_2.5L-s_R01.3;D1_S02_2.5L-s_R01.4;D1_S02_10L-s_R02;D1_S02_10L-s_R03;D1_S02_10L-m_R01;D1_S02_10L-m_R02;D1_S02_10L-m_R03;D1_S20_30L-m_R123;D1_S023_10L-m_R01;D1_S023_10L-m_R02;D1_S023_10L-m_R03;D1_S320_10L-m_R01;D1_S320_10L-m_R02;D1_S320_10L-m_R03;D1_S20_120L-m_R01;D1_S20_100L-m_R02;D1_S20_60L-m_R03;D1_S023_60L-m_R01;D1_S023_100L-m_R02;D1_S023_60L-m_R03;D1_S320_60L-m_R01;D1_S320_100L-m_R02;D1_S320_60L-m_R03;D1_S20_496L-m_R00;D1_S20_100L-m_R01;D1_S20_100L-m_R02;D1_S20_100L-m_R03;D1_S023_496L-m_R00;D1_S023_100L-m_R01;D1_S023_100L-m_R02;D1_S023_100L-m_R03;D1_S320_496L-m_R00;D1_S320_100L-m_R01;D1_S320_100L-m_R02;D1_S320_100L-m_R03;D2_S20_1000L-m_R00;D2_S20_100L-m_R11;D2_S023_1000L-m_R00;D2_S023_100L-m_R11;D2_S320_1000L-m_R00;D2_S320_100L-m_R11;D1_S20_776L-m_R00;D1_S023_716L-m_R00;D1_S320_716L-m_R00
D1_S02_1L-s_R01;0.000000;0.496500;0.521331;0.512921;0.570994;0.495876;0.566298;0.516239;0.560358;0.534432;0.685215;0.611972;0.490890;0.960112;0.486397;0.561138;0.579852;0.892887;0.895461;0.923033;0.870744;0.934969;0.972795;0.478649;0.485510;0.483270;0.655061;0.745952;0.699018;0.918904;0.935638;0.951577;0.870747;0.503636;0.504558;0.495800;0.493219;0.702697;0.731530;0.759125;0.624979;0.960590;0.953745;0.545282;0.524048;0.818170;0.773081;0.918575;0.509490;0.692370
D1_S02_1L-s_R02;0.496500;0.000000;0.510752;0.499836;0.565483;0.470662;0.558210;0.498289;0.551263;0.523538;0.684212;0.606264;0.455231;0.963991;0.450581;0.546756;0.569737;0.898425;0.904709;0.931890;0.874464;0.939472;0.975713;0.447292;0.448598;0.445036;0.651922;0.747181;0.697250;0.922868;0.939989;0.955814;0.874933;0.464486;0.467453;0.454912;0.450829;0.702284;0.732515;0.762172;0.618784;0.963463;0.956558;0.512934;0.487018;0.823032;0.775129;0.923221;0.474619;0.691247
D1_S02_1L-s_R03;0.521331;0.510752;0.000000;0.505380;0.558545;0.503058;0.549949;0.515857;0.548664;0.523044;0.674293;0.598056;0.506583;0.958305;0.497073;0.547528;0.575981;0.885162;0.884889;0.915689;0.864775;0.931233;0.971416;0.490020;0.499276;0.496000;0.636290;0.734268;0.686042;0.914924;0.932094;0.948531;0.864921;0.518753;0.517178;0.513345;0.512254;0.690905;0.719777;0.745977;0.613634;0.958740;0.951303;0.563522;0.545910;0.808607;0.763042;0.914315;0.521389;0.680072
D1_S02_10L-s_R01;0.512921;0.499836;0.505380;0.000000;0.552688;0.482522;0.540633;0.501811;0.532345;0.503889;0.680591;0.600759;0.494065;0.961042;0.472416;0.529394;0.578882;0.890040;0.892663;0.922280;0.869247;0.934813;0.974028;0.468444;0.473288;0.469134;0.637326;0.737816;0.688799;0.918198;0.935902;0.951301;0.867915;0.490922;0.488984;0.487709;0.487485;0.693158;0.722879;0.752289;0.616605;0.961435;0.953980;0.538212;0.518831;0.815338;0.769306;0.917630;0.493382;0.681734
D1_S02_2.5L-s_R01.1;0.570994;0.565483;0.558545;0.552688;0.000000;0.556612;0.589394;0.564383;0.589586;0.569444;0.691670;0.626299;0.562283;0.960442;0.552447;0.588238;0.611556;0.881367;0.881131;0.911097;0.868994;0.933184;0.973767;0.548391;0.559638;0.556737;0.651111;0.739984;0.695781;0.917836;0.935306;0.950411;0.867960;0.570994;0.566462;0.569307;0.570477;0.701143;0.727094;0.752243;0.632222;0.961506;0.953861;0.609349;0.593383;0.809609;0.767832;0.916511;0.575275;0.690450
D1_S02_2.5L-s_R01.2;0.495876;0.470662;0.503058;0.482522;0.556612;0.000000;0.541391;0.487324;0.529928;0.498810;0.687020;0.604561;0.459652;0.963745;0.439173;0.525702;0.575038;0.901425;0.907566;0.934341;0.876065;0.939240;0.975783;0.433970;0.432617;0.429009;0.647996;0.747899;0.697746;0.922702;0.939839;0.955018;0.874320;0.450855;0.453081;0.444628;0.441808;0.701670;0.732566;0.764252;0.622430;0.963453;0.956529;0.499863;0.475737;0.826604;0.779281;0.922997;0.457056;0.690269
D1_S02_2.5L-s_R01.3;0.566298;0.558210;0.549949;0.540633;0.589394;0.541391;0.000000;0.554492;0.573565;0.549484;0.699850;0.625964;0.555727;0.961538;0.536377;0.568035;0.617080;0.898479;0.901893;0.929020;0.875016;0.935998;0.973409;0.532690;0.538417;0.534694;0.657181;0.751685;0.705295;0.920049;0.937091;0.950935;0.872921;0.553328;0.550262;0.551439;0.551050;0.710253;0.737462;0.762904;0.640711;0.961012;0.953898;0.594066;0.579023;0.824454;0.780782;0.920017;0.555315;0.700254
D1_S02_2.5L-s_R01.4;0.516239;0.498289;0.515857;0.501811;0.564383;0.487324;0.554492;0.000000;0.547398;0.520529;0.685740;0.607934;0.490168;0.961577;0.476441;0.546080;0.580893;0.894292;0.897766;0.926042;0.872617;0.937005;0.974501;0.470966;0.476085;0.472712;0.647682;0.744082;0.695791;0.920576;0.937788;0.952819;0.871817;0.491951;0.491259;0.486963;0.485404;0.700030;0.729361;0.758515;0.622600;0.961996;0.954751;0.540329;0.519017;0.820189;0.774743;0.920488;0.498139;0.689061
D1_S02_10L-s_R02;0.560358;0.551263;0.548664;0.532345;0.589586;0.529928;0.573565;0.547398;0.000000;0.533474;0.702491;0.629322;0.547028;0.955606;0.518604;0.554205;0.619112;0.896403;0.902557;0.927848;0.872070;0.929315;0.966732;0.518672;0.518140;0.512988;0.663492;0.756904;0.712384;0.913975;0.930442;0.944893;0.868834;0.533920;0.532647;0.532015;0.533483;0.715434;0.742597;0.771302;0.650443;0.955583;0.948955;0.573847;0.559519;0.829482;0.787688;0.914020;0.531912;0.704737
D1_S02_10L-s_R03;0.534432;0.523538;0.523044;0.503889;0.569444;0.498810;0.549484;0.520529;0.533474;0.000000;0.691607;0.611651;0.519985;0.955303;0.486564;0.528303;0.600989;0.896598;0.903302;0.929475;0.868345;0.928190;0.966620;0.485512;0.483974;0.477268;0.649714;0.749468;0.701204;0.912109;0.929436;0.943801;0.865586;0.501273;0.500521;0.498718;0.500264;0.704930;0.733912;0.763755;0.634442;0.954840;0.947959;0.542677;0.525823;0.825281;0.780686;0.912511;0.498864;0.693783
D1_S02_10L-m_R01;0.685215;0.684212;0.674293;0.680591;0.691670;0.687020;0.699850;0.685740;0.702491;0.691607;0.000000;0.677663;0.685256;0.926813;0.693292;0.714128;0.692308;0.861720;0.859918;0.887425;0.839199;0.897543;0.938273;0.688934;0.701589;0.698936;0.696121;0.755554;0.719711;0.884274;0.898913;0.915774;0.842694;0.707656;0.703934;0.704082;0.705610;0.727536;0.742685;0.755380;0.677996;0.926961;0.918713;0.724437;0.716453;0.794004;0.760050;0.884028;0.711981;0.721219
D1_S02_10L-m_R02;0.611972;0.606264;0.598056;0.600759;0.626299;0.604561;0.625964;0.607934;0.629322;0.611651;0.677663;0.000000;0.605819;0.897417;0.604014;0.632736;0.636217;0.875164;0.876005;0.905533;0.808766;0.868636;0.905503;0.601309;0.612587;0.609713;0.655507;0.740754;0.693106;0.851651;0.867579;0.885353;0.815577;0.619478;0.615142;0.615794;0.616655;0.701521;0.724036;0.745329;0.632474;0.898812;0.888407;0.649279;0.635438;0.795012;0.753690;0.855617;0.627328;0.692465
D1_S02_10L-m_R03;0.490890;0.455231;0.506583;0.494065;0.562283;0.459652;0.555727;0.490168;0.547028;0.519985;0.685256;0.605819;0.000000;0.969059;0.416193;0.529392;0.558182;0.910168;0.917492;0.950807;0.882523;0.949307;0.981454;0.405192;0.407565;0.403535;0.654978;0.753987;0.705466;0.932624;0.949434;0.965226;0.883597;0.428637;0.435068;0.418201;0.411757;0.708937;0.741370;0.774463;0.622697;0.970007;0.963720;0.484439;0.454397;0.838790;0.788345;0.932541;0.438195;0.697213
D1_S20_30L-m_R123;0.960112;0.963991;0.958305;0.961042;0.960442;0.963745;0.961538;0.961577;0.955606;0.955303;0.926813;0.897417;0.969059;0.000000;0.973997;0.975125;0.961207;0.957940;0.952573;0.959883;0.692706;0.645478;0.633206;0.973095;0.975462;0.976590;0.956028;0.959445;0.952000;0.643397;0.645578;0.685057;0.729915;0.974879;0.972887;0.975571;0.976060;0.955863;0.952674;0.952882;0.952750;0.691305;0.699797;0.975207;0.977082;0.946207;0.947455;0.661597;0.976315;0.955418
D1_S023_10L-m_R01;0.486397;0.450581;0.497073;0.472416;0.552447;0.439173;0.536377;0.476441;0.518604;0.486564;0.693292;0.604014;0.416193;0.973997;0.000000;0.471986;0.572310;0.920792;0.936557;0.964363;0.890736;0.953627;0.984910;0.392499;0.377458;0.373831;0.646841;0.757282;0.703287;0.936811;0.953312;0.969996;0.887939;0.389018;0.391770;0.379772;0.381637;0.710132;0.743716;0.785328;0.621913;0.974494;0.968654;0.460826;0.424923;0.852206;0.798863;0.937628;0.402279;0.695677
D1_S023_10L-m_R02;0.561138;0.546756;0.547528;0.529394;0.588238;0.525702;0.568035;0.546080;0.554205;0.528303;0.714128;0.632736;0.529392;0.975125;0.471986;0.000000;0.621294;0.920998;0.933888;0.961909;0.896501;0.954758;0.985234;0.498493;0.494423;0.487456;0.664170;0.767301;0.719063;0.938496;0.954894;0.969571;0.891839;0.504542;0.502142;0.501851;0.508278;0.724950;0.755353;0.790555;0.650501;0.975192;0.969498;0.557276;0.536622;0.855416;0.807137;0.938929;0.504411;0.712080
D1_S023_10L-m_R03;0.579852;0.569737;0.575981;0.578882;0.611556;0.575038;0.617080;0.580893;0.619112;0.600989;0.692308;0.636217;0.558182;0.961207;0.572310;0.621294;0.000000;0.880277;0.877472;0.906203;0.871861;0.936038;0.974231;0.554417;0.570346;0.569781;0.672348;0.747679;0.708349;0.920997;0.937399;0.952598;0.873582;0.587425;0.587234;0.581961;0.578794;0.709917;0.734904;0.754608;0.640497;0.962020;0.954961;0.618941;0.603987;0.808948;0.769296;0.919633;0.590783;0.702427
D1_S320_10L-m_R01;0.892887;0.898425;0.885162;0.890040;0.881367;0.901425;0.898479;0.894292;0.896403;0.896598;0.861720;0.875164;0.910168;0.957940;0.920792;0.920998;0.880277;0.000000;0.831530;0.850966;0.897670;0.929625;0.968281;0.919702;0.926927;0.926274;0.822196;0.843252;0.827465;0.924721;0.934018;0.945991;0.899674;0.927181;0.923206;0.927652;0.930956;0.833262;0.825998;0.816902;0.828571;0.961502;0.956928;0.928765;0.932794;0.816122;0.813232;0.920475;0.927102;0.828162
D1_S320_10L-m_R02;0.895461;0.904709;0.884889;0.892663;0.881131;0.907566;0.901893;0.897766;0.902557;0.903302;0.859918;0.876005;0.917492;0.952573;0.936557;0.933888;0.877472;0.831530;0.000000;0.840933;0.892381;0.929322;0.966481;0.930262;0.940923;0.941416;0.839121;0.844936;0.835365;0.923407;0.931145;0.942524;0.900064;0.942236;0.937848;0.943968;0.946483;0.844218;0.840027;0.822301;0.838266;0.958225;0.951683;0.939383;0.946443;0.824531;0.821296;0.920187;0.940776;0.842444
D1_S320_10L-m_R03;0.923033;0.931890;0.915689;0.922280;0.911097;0.934341;0.929020;0.926042;0.927848;0.929475;0.887425;0.905533;0.950807;0.959883;0.964363;0.961909;0.906203;0.850966;0.840933;0.000000;0.915109;0.937263;0.967065;0.958896;0.964837;0.967060;0.866276;0.869266;0.859946;0.935289;0.938942;0.949754;0.918259;0.966265;0.962775;0.968207;0.969278;0.866008;0.857259;0.847088;0.870521;0.963229;0.959780;0.962439;0.969496;0.835991;0.842853;0.930415;0.964959;0.863013
D1_S20_120L-m_R01;0.870744;0.874464;0.864775;0.869247;0.868994;0.876065;0.875016;0.872617;0.872070;0.868345;0.839199;0.808766;0.882523;0.692706;0.890736;0.896501;0.871861;0.897670;0.892381;0.915109;0.000000;0.666734;0.710335;0.889484;0.897134;0.897477;0.847465;0.868914;0.847254;0.657745;0.672311;0.694820;0.689109;0.897414;0.892614;0.897940;0.900568;0.862508;0.859788;0.852612;0.843664;0.720681;0.713298;0.905366;0.904028;0.860593;0.855269;0.673420;0.900573;0.858928
D1_S20_100L-m_R02;0.934969;0.939472;0.931233;0.934813;0.933184;0.939240;0.935998;0.937005;0.929315;0.928190;0.897543;0.868636;0.949307;0.645478;0.953627;0.954758;0.936038;0.929625;0.929322;0.937263;0.666734;0.000000;0.632648;0.953113;0.955587;0.956386;0.914167;0.923974;0.911656;0.614246;0.619947;0.675557;0.687788;0.955123;0.952283;0.955829;0.957613;0.921747;0.917572;0.914313;0.917166;0.675374;0.680767;0.958207;0.959724;0.912289;0.913244;0.632950;0.956884;0.918589
D1_S20_60L-m_R03;0.972795;0.975713;0.971416;0.974028;0.973767;0.975783;0.973409;0.974501;0.966732;0.966620;0.938273;0.905503;0.981454;0.633206;0.984910;0.985234;0.974231;0.968281;0.966481;0.967065;0.710335;0.632648;0.000000;0.984009;0.984934;0.985686;0.968248;0.970499;0.963929;0.621911;0.614214;0.682440;0.727219;0.984319;0.983071;0.984487;0.985080;0.966939;0.963554;0.964591;0.966703;0.656321;0.663060;0.984480;0.986206;0.956284;0.957983;0.639954;0.985668;0.966757
D1_S023_60L-m_R01;0.478649;0.447292;0.490020;0.468444;0.548391;0.433970;0.532690;0.470966;0.518672;0.485512;0.688934;0.601309;0.405192;0.973095;0.392499;0.498493;0.554417;0.919702;0.930262;0.958896;0.889484;0.953113;0.984009;0.000000;0.362402;0.365325;0.654643;0.758135;0.709139;0.936301;0.953110;0.968001;0.888121;0.399076;0.407895;0.392101;0.383469;0.710261;0.744674;0.779816;0.625998;0.972955;0.967026;0.451228;0.420766;0.845977;0.795939;0.936707;0.399072;0.698835
D1_S023_100L-m_R02;0.485510;0.448598;0.499276;0.473288;0.559638;0.432617;0.538417;0.476085;0.518140;0.483974;0.701589;0.612587;0.407565;0.975462;0.377458;0.494423;0.570346;0.926927;0.940923;0.964837;0.897134;0.955587;0.984934;0.362402;0.000000;0.346926;0.665168;0.769088;0.719922;0.939365;0.955652;0.969932;0.894076;0.377466;0.393736;0.369076;0.358183;0.720998;0.754823;0.792408;0.640556;0.974555;0.969336;0.431352;0.399370;0.856349;0.806947;0.940339;0.377120;0.709102
D1_S023_60L-m_R03;0.483270;0.445036;0.496000;0.469134;0.556737;0.429009;0.534694;0.472712;0.512988;0.477268;0.698936;0.609713;0.403535;0.976590;0.373831;0.487456;0.569781;0.926274;0.941416;0.967060;0.897477;0.956386;0.985686;0.365325;0.346926;0.000000;0.661757;0.767223;0.717323;0.939891;0.956230;0.971056;0.893636;0.368467;0.384506;0.357222;0.350515;0.718387;0.753020;0.791096;0.636593;0.975330;0.970497;0.419211;0.384807;0.856602;0.805132;0.940998;0.369912;0.706394
D1_S320_60L-m_R01;0.655061;0.651922;0.636290;0.637326;0.651111;0.647996;0.657181;0.647682;0.663492;0.649714;0.696121;0.655507;0.654978;0.956028;0.646841;0.664170;0.672348;0.822196;0.839121;0.866276;0.847465;0.914167;0.968248;0.654643;0.665168;0.661757;0.000000;0.704617;0.642901;0.899230;0.917559;0.938808;0.844532;0.662087;0.652114;0.664079;0.669338;0.669821;0.683994;0.694110;0.607573;0.955734;0.947657;0.700772;0.687785;0.750822;0.710847;0.897521;0.673527;0.654467
D1_S320_100L-m_R02;0.745952;0.747181;0.734268;0.737816;0.739984;0.747899;0.751685;0.744082;0.756904;0.749468;0.755554;0.740754;0.753987;0.959445;0.757282;0.767301;0.747679;0.843252;0.844936;0.869266;0.868914;0.923974;0.970499;0.758135;0.769088;0.767223;0.704617;0.000000;0.720648;0.912003;0.927239;0.944752;0.864762;0.767625;0.761049;0.768737;0.771830;0.733100;0.739484;0.739515;0.699984;0.959520;0.952498;0.784803;0.778151;0.782751;0.755068;0.909082;0.773950;0.726835
D1_S320_60L-m_R03;0.699018;0.697250;0.686042;0.688799;0.695781;0.697746;0.705295;0.695791;0.712384;0.701204;0.719711;0.693106;0.705466;0.952000;0.703287;0.719063;0.708349;0.827465;0.835365;0.859946;0.847254;0.911656;0.963929;0.709139;0.719922;0.717323;0.642901;0.720648;0.000000;0.896615;0.913962;0.935312;0.845884;0.714884;0.705599;0.717017;0.720831;0.692850;0.700872;0.703357;0.639177;0.952406;0.944395;0.744292;0.732969;0.754385;0.718985;0.895527;0.726522;0.680422
D1_S20_496L-m_R00;0.918904;0.922868;0.914924;0.918198;0.917836;0.922702;0.920049;0.920576;0.913975;0.912109;0.884274;0.851651;0.932624;0.643397;0.936811;0.938496;0.920997;0.924721;0.923407;0.935289;0.657745;0.614246;0.621911;0.936301;0.939365;0.939891;0.899230;0.912003;0.896615;0.000000;0.601551;0.667723;0.681878;0.938927;0.935688;0.939546;0.941404;0.907354;0.903672;0.899527;0.898929;0.672513;0.678861;0.943253;0.943839;0.900743;0.899868;0.620144;0.941090;0.904584
D1_S20_100L-m_R01;0.935638;0.939989;0.932094;0.935902;0.935306;0.939839;0.937091;0.937788;0.930442;0.929436;0.898913;0.867579;0.949434;0.645578;0.953312;0.954894;0.937399;0.934018;0.931145;0.938942;0.672311;0.619947;0.614214;0.953110;0.955652;0.956230;0.917559;0.927239;0.913962;0.601551;0.000000;0.677669;0.687235;0.955293;0.952580;0.955723;0.957565;0.924250;0.919844;0.916778;0.919661;0.653741;0.658199;0.958379;0.959634;0.914250;0.915067;0.627148;0.957068;0.921490
D1_S20_100L-m_R02;0.951577;0.955814;0.948531;0.951301;0.950411;0.955018;0.950935;0.952819;0.944893;0.943801;0.915774;0.885353;0.965226;0.685057;0.969996;0.969571;0.952598;0.945991;0.942524;0.949754;0.694820;0.675557;0.682440;0.968001;0.969932;0.971056;0.938808;0.944752;0.935312;0.667723;0.677669;0.000000;0.729066;0.969773;0.967274;0.970693;0.971634;0.940862;0.936974;0.933972;0.936753;0.702202;0.694511;0.970817;0.972768;0.929988;0.931904;0.687573;0.971048;0.940276
D1_S20_100L-m_R03;0.870747;0.874933;0.864921;0.867915;0.867960;0.874320;0.872921;0.871817;0.868834;0.865586;0.842694;0.815577;0.883597;0.729915;0.887939;0.891839;0.873582;0.899674;0.900064;0.918259;0.689109;0.687788;0.727219;0.888121;0.894076;0.893636;0.844532;0.864762;0.845884;0.681878;0.687235;0.729066;0.000000;0.893586;0.889389;0.893979;0.897088;0.859529;0.857669;0.853553;0.845174;0.719557;0.716496;0.901177;0.900245;0.865767;0.858870;0.695489;0.896269;0.855206
D1_S023_496L-m_R00;0.503636;0.464486;0.518753;0.490922;0.570994;0.450855;0.553328;0.491951;0.533920;0.501273;0.707656;0.619478;0.428637;0.974879;0.389018;0.504542;0.587425;0.927181;0.942236;0.966265;0.897414;0.955123;0.984319;0.399076;0.377466;0.368467;0.662087;0.767625;0.714884;0.938927;0.955293;0.969773;0.893586;0.000000;0.385231;0.374891;0.369520;0.720273;0.753122;0.793591;0.636663;0.973937;0.968467;0.443825;0.408451;0.856673;0.805058;0.940460;0.394254;0.707011
D1_S023_100L-m_R01;0.504558;0.467453;0.517178;0.488984;0.566462;0.453081;0.550262;0.491259;0.532647;0.500521;0.703934;0.615142;0.435068;0.972887;0.391770;0.502142;0.587234;0.923206;0.937848;0.962775;0.892614;0.952283;0.983071;0.407895;0.393736;0.384506;0.652114;0.761049;0.705599;0.935688;0.952580;0.967274;0.889389;0.385231;0.000000;0.389690;0.387521;0.713754;0.746353;0.787269;0.627286;0.972227;0.966161;0.461899;0.426501;0.851287;0.798585;0.937257;0.408606;0.699649
D1_S023_100L-m_R02;0.495800;0.454912;0.513345;0.487709;0.569307;0.444628;0.551439;0.486963;0.532015;0.498718;0.704082;0.615794;0.418201;0.975571;0.379772;0.501851;0.581961;0.927652;0.943968;0.968207;0.897940;0.955829;0.984487;0.392101;0.369076;0.357222;0.664079;0.768737;0.717017;0.939546;0.955723;0.970693;0.893979;0.374891;0.389690;0.000000;0.359387;0.720695;0.754217;0.794315;0.636983;0.974376;0.969302;0.433962;0.397860;0.857813;0.806147;0.941148;0.388749;0.707974
D1_S023_100L-m_R03;0.493219;0.450829;0.512254;0.487485;0.570477;0.441808;0.551050;0.485404;0.533483;0.500264;0.705610;0.616655;0.411757;0.976060;0.381637;0.508278;0.578794;0.930956;0.946483;0.969278;0.900568;0.957613;0.985080;0.383469;0.358183;0.350515;0.669338;0.771830;0.720831;0.941404;0.957565;0.971634;0.897088;0.369520;0.387521;0.359387;0.000000;0.723226;0.757098;0.795759;0.639665;0.974760;0.969600;0.424283;0.387559;0.858251;0.806835;0.943086;0.383772;0.711636
D1_S320_496L-m_R00;0.702697;0.702284;0.690905;0.693158;0.701143;0.701670;0.710253;0.700030;0.715434;0.704930;0.727536;0.701521;0.708937;0.955863;0.710132;0.724950;0.709917;0.833262;0.844218;0.866008;0.862508;0.921747;0.966939;0.710261;0.720998;0.718387;0.669821;0.733100;0.692850;0.907354;0.924250;0.940862;0.859529;0.720273;0.713754;0.720695;0.723226;0.000000;0.710130;0.716807;0.657095;0.955688;0.948513;0.739454;0.730013;0.769098;0.735025;0.905346;0.727884;0.693009
D1_S320_100L-m_R01;0.731530;0.732515;0.719777;0.722879;0.727094;0.732566;0.737462;0.729361;0.742597;0.733912;0.742685;0.724036;0.741370;0.952674;0.743716;0.755353;0.734904;0.825998;0.840027;0.857259;0.859788;0.917572;0.963554;0.744674;0.754823;0.753020;0.683994;0.739484;0.700872;0.903672;0.919844;0.936974;0.857669;0.753122;0.746353;0.754217;0.757098;0.710130;0.000000;0.716766;0.675048;0.952693;0.945520;0.772551;0.764970;0.765508;0.736769;0.901456;0.760504;0.703819
D1_S320_100L-m_R02;0.759125;0.762172;0.745977;0.752289;0.752243;0.764252;0.762904;0.758515;0.771302;0.763755;0.755380;0.745329;0.774463;0.952882;0.785328;0.790555;0.754608;0.816902;0.822301;0.847088;0.852612;0.914313;0.964591;0.779816;0.792408;0.791096;0.694110;0.739515;0.703357;0.899527;0.916778;0.933972;0.853553;0.793591;0.787269;0.794315;0.795759;0.716807;0.716766;0.000000;0.685060;0.952618;0.944137;0.805812;0.800613;0.747655;0.724597;0.897756;0.798643;0.712814
D1_S320_100L-m_R03;0.624979;0.618784;0.613634;0.616605;0.632222;0.622430;0.640711;0.622600;0.650443;0.634442;0.677996;0.632474;0.622697;0.952750;0.621913;0.650501;0.640497;0.828571;0.838266;0.870521;0.843664;0.917166;0.966703;0.625998;0.640556;0.636593;0.607573;0.699984;0.639177;0.898929;0.919661;0.936753;0.845174;0.636663;0.627286;0.636983;0.639665;0.657095;0.675048;0.685060;0.000000;0.952372;0.943166;0.670749;0.652031;0.746187;0.700084;0.899158;0.651665;0.646674
D2_S20_1000L-m_R00;0.960590;0.963463;0.958740;0.961435;0.961506;0.963453;0.961012;0.961996;0.955583;0.954840;0.926961;0.898812;0.970007;0.691305;0.974494;0.975192;0.962020;0.961502;0.958225;0.963229;0.720681;0.675374;0.656321;0.972955;0.974555;0.975330;0.955734;0.959520;0.952406;0.672513;0.653741;0.702202;0.719557;0.973937;0.972227;0.974376;0.974760;0.955688;0.952693;0.952618;0.952372;0.000000;0.529663;0.972439;0.974207;0.938088;0.940091;0.690957;0.975543;0.955601
D2_S20_100L-m_R11;0.953745;0.956558;0.951303;0.953980;0.953861;0.956529;0.953898;0.954751;0.948955;0.947959;0.918713;0.888407;0.963720;0.699797;0.968654;0.969498;0.954961;0.956928;0.951683;0.959780;0.713298;0.680767;0.663060;0.967026;0.969336;0.970497;0.947657;0.952498;0.944395;0.678861;0.658199;0.694511;0.716496;0.968467;0.966161;0.969302;0.969600;0.948513;0.945520;0.944137;0.943166;0.529663;0.000000;0.966704;0.968190;0.930150;0.930856;0.697304;0.970333;0.948472
D2_S023_1000L-m_R00;0.545282;0.512934;0.563522;0.538212;0.609349;0.499863;0.594066;0.540329;0.573847;0.542677;0.724437;0.649279;0.484439;0.975207;0.460826;0.557276;0.618941;0.928765;0.939383;0.962439;0.905366;0.958207;0.984480;0.451228;0.431352;0.419211;0.700772;0.784803;0.744292;0.943253;0.958379;0.970817;0.901177;0.443825;0.461899;0.433962;0.424283;0.739454;0.772551;0.805812;0.670749;0.972439;0.966704;0.000000;0.360885;0.850846;0.801972;0.944175;0.444540;0.731529
D2_S023_100L-m_R11;0.524048;0.487018;0.545910;0.518831;0.593383;0.475737;0.579023;0.519017;0.559519;0.525823;0.716453;0.635438;0.454397;0.977082;0.424923;0.536622;0.603987;0.932794;0.946443;0.969496;0.904028;0.959724;0.986206;0.420766;0.399370;0.384807;0.687785;0.778151;0.732969;0.943839;0.959634;0.972768;0.900245;0.408451;0.426501;0.397860;0.387559;0.730013;0.764970;0.800613;0.652031;0.974207;0.968190;0.360885;0.000000;0.851145;0.797672;0.945311;0.414270;0.721263
D2_S320_1000L-m_R00;0.818170;0.823032;0.808607;0.815338;0.809609;0.826604;0.824454;0.820189;0.829482;0.825281;0.794004;0.795012;0.838790;0.946207;0.852206;0.855416;0.808948;0.816122;0.824531;0.835991;0.860593;0.912289;0.956284;0.845977;0.856349;0.856602;0.750822;0.782751;0.754385;0.900743;0.914250;0.929988;0.865767;0.856673;0.851287;0.857813;0.858251;0.769098;0.765508;0.747655;0.746187;0.938088;0.930150;0.850846;0.851145;0.000000;0.690784;0.898338;0.860414;0.764246
D2_S320_100L-m_R11;0.773081;0.775129;0.763042;0.769306;0.767832;0.779281;0.780782;0.774743;0.787688;0.780686;0.760050;0.753690;0.788345;0.947455;0.798863;0.807137;0.769296;0.813232;0.821296;0.842853;0.855269;0.913244;0.957983;0.795939;0.806947;0.805132;0.710847;0.755068;0.718985;0.899868;0.915067;0.931904;0.858870;0.805058;0.798585;0.806147;0.806835;0.735025;0.736769;0.724597;0.700084;0.940091;0.930856;0.801972;0.797672;0.690784;0.000000;0.897747;0.811933;0.729629
D1_S20_776L-m_R00;0.918575;0.923221;0.914315;0.917630;0.916511;0.922997;0.920017;0.920488;0.914020;0.912511;0.884028;0.855617;0.932541;0.661597;0.937628;0.938929;0.919633;0.920475;0.920187;0.930415;0.673420;0.632950;0.639954;0.936707;0.940339;0.940998;0.897521;0.909082;0.895527;0.620144;0.627148;0.687573;0.695489;0.940460;0.937257;0.941148;0.943086;0.905346;0.901456;0.897756;0.899158;0.690957;0.697304;0.944175;0.945311;0.898338;0.897747;0.000000;0.941572;0.901259
D1_S023_716L-m_R00;0.509490;0.474619;0.521389;0.493382;0.575275;0.457056;0.555315;0.498139;0.531912;0.498864;0.711981;0.627328;0.438195;0.976315;0.402279;0.504411;0.590783;0.927102;0.940776;0.964959;0.900573;0.956884;0.985668;0.399072;0.377120;0.369912;0.673527;0.773950;0.726522;0.941090;0.957068;0.971048;0.896269;0.394254;0.408606;0.388749;0.383772;0.727884;0.760504;0.798643;0.651665;0.975543;0.970333;0.444540;0.414270;0.860414;0.811933;0.941572;0.000000;0.715173
D1_S320_716L-m_R00;0.692370;0.691247;0.680072;0.681734;0.690450;0.690269;0.700254;0.689061;0.704737;0.693783;0.721219;0.692465;0.697213;0.955418;0.695677;0.712080;0.702427;0.828162;0.842444;0.863013;0.858928;0.918589;0.966757;0.698835;0.709102;0.706394;0.654467;0.726835;0.680422;0.904584;0.921490;0.940276;0.855206;0.707011;0.699649;0.707974;0.711636;0.693009;0.703819;0.712814;0.646674;0.955601;0.948472;0.731529;0.721263;0.764246;0.729629;0.901259;0.715173;0.000000
